"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000045671"	231	470	683	287	207	224	604	567	809	852	255	277	433	618	348	842	210	871
"ENSMUSG00000045672"	157	113	245	228	83	118	196	201	426	314	105	109	177	265	112	285	68	305
"ENSMUSG00000045678"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045679"	65	37	72	120	38	44	111	97	200	120	30	22	72	75	41	122	30	97
"ENSMUSG00000045680"	200	529	757	528	280	226	798	672	1087	1255	307	314	749	824	347	1185	226	1336
"ENSMUSG00000045684"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045689"	2	18	16	4	2	16	17	17	27	29	5	7	4	24	6	10	4	29
"ENSMUSG00000045690"	28	42	37	29	11	14	48	61	104	63	32	32	46	78	16	56	19	103
"ENSMUSG00000045691"	23	44	36	31	13	30	42	40	66	126	40	26	43	62	39	55	8	86
"ENSMUSG00000045693"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045694"	2	3	0	0	0	0	0	1	5	2	1	1	1	3	3	2	0	5
"ENSMUSG00000045699"	0	2	0	0	1	1	4	2	9	1	0	0	1	3	9	0	0	2
"ENSMUSG00000045708"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045709"	5	0	6	2	0	3	4	0	5	2	0	1	3	3	0	1	0	3
"ENSMUSG00000045725"	10	13	30	34	17	10	27	37	48	71	15	19	16	50	18	41	4	68
"ENSMUSG00000045730"	29	18	32	38	6	24	30	39	123	37	9	8	19	23	11	42	7	51
"ENSMUSG00000045731"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045733"	1	3	5	5	1	0	12	4	10	3	6	2	11	8	6	5	0	6
"ENSMUSG00000045744"	0	4	0	1	1	1	0	0	3	9	0	0	7	5	0	0	1	0
"ENSMUSG00000045746"	8	5	6	14	4	10	23	16	5	17	6	6	7	14	4	7	6	20
"ENSMUSG00000045751"	310	164	426	257	124	186	929	619	1174	738	314	300	656	1131	436	1179	346	1301
"ENSMUSG00000045752"	208	268	357	267	65	142	240	297	502	525	162	165	244	335	148	340	68	464
"ENSMUSG00000045757"	52	36	85	81	30	18	81	93	137	125	43	42	66	111	46	100	29	114
"ENSMUSG00000045761"	34	26	54	37	15	67	45	35	77	48	10	8	23	25	17	26	3	27
"ENSMUSG00000045763"	183	63	239	221	96	109	227	183	521	325	68	78	198	223	125	291	60	299
"ENSMUSG00000045767"	2838	4200	7251	3173	2089	2428	6476	6202	8971	8695	2903	2992	5605	7884	3671	9489	2197	8787
"ENSMUSG00000045775"	158	1	0	0	0	0	3	0	0	7	0	1	0	0	1	5	0	0
"ENSMUSG00000045776"	210	216	694	251	106	550	1932	1064	1842	1475	773	800	1393	1937	425	3041	373	2111
"ENSMUSG00000045777"	6	13	8	21	6	8	10	6	5	13	4	0	4	4	3	5	2	11
"ENSMUSG00000045780"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"ENSMUSG00000045790"	58	64	76	76	30	59	73	96	157	192	51	51	85	129	56	106	27	160
"ENSMUSG00000045792"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
